Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
202301,21184,ED-D,407,A01,EVAL+RPT STUDENT PROGRESS,LEC,"Harte, Kindra",1.5,M,CLE,C112,830,950,MR,09-Jan-23,06-Apr-23,66,56,Educ Psychology & Leadership,ED,A
202301,21186,ED-D,407,A03,EVAL+RPT STUDENT PROGRESS,LEC,"Harte, Kindra",1.5,M,CUN,146,1000,1120,MR,09-Jan-23,06-Apr-23,58,56,Educ Psychology & Leadership,ED,A
202301,21190,ED-D,408,A02,PROMOTE PROSOCIAL BEHAVE,LEC,"Willows, Jessica",1.5,M,CLE,D126,1230,1520,T,09-Jan-23,06-Apr-23,30,26,Educ Psychology & Leadership,ED,A
202301,21189,ED-D,408,A01,PROMOTE PROSOCIAL BEHAVE,LEC,"Bender, Lois",1.5,M,CLE,A313,1130,1250,TF,09-Jan-23,06-Apr-23,31,33,Educ Psychology & Leadership,ED,A
202301,21191,ED-D,410,A03,TEACHER AS LEADER,LEC,"Diaz-Diaz, Claudia",1.5,ONL,,,830,1120,MTWRF,05-Jan-23,20-Jan-23,20,13,Educ Psychology & Leadership,ED,A
202301,23638,ED-D,410,A02,TEACHER AS LEADER,LEC,"Harrigan, Denis",1.5,ONL,,,830,1120,MTWRF,05-Jan-23,20-Jan-23,33,27,Educ Psychology & Leadership,ED,A
202301,23637,ED-D,410,A01,TEACHER AS LEADER,LEC,"Grewal, Joe",1.5,ONL,,,830,1120,MTWRF,05-Jan-23,20-Jan-23,33,32,Educ Psychology & Leadership,ED,A
202301,21192,ED-D,414,A01,GROUP PROCESSES,LEC,"Nutter, Sarah",1.5,M,COR,A125,1630,1920,W,09-Jan-23,06-Apr-23,50,42,Educ Psychology & Leadership,ED,A
202301,21195,ED-D,417,A03,EFFECTVE INTERP COMMUNCTN,LEC,"Roberts, Alex",1.5,M,CLE,C109,1330,1620,R,09-Jan-23,06-Apr-23,30,14,Educ Psychology & Leadership,ED,A
202301,21193,ED-D,417,A01,EFFECTVE INTERP COMMUNCTN,LEC,"Woodend, Jon",1.5,M,CLE,A312,1630,1920,T,09-Jan-23,06-Apr-23,30,27,Educ Psychology & Leadership,ED,A
202301,21194,ED-D,417,A02,EFFECTVE INTERP COMMUNCTN,LEC,"Woodend, Jon",1.5,M,COR,A129,930,1220,W,09-Jan-23,06-Apr-23,30,26,Educ Psychology & Leadership,ED,A
202301,21196,ED-D,418,A01,INTRO THEORIES COUNSELLNG,LEC,"Sorsdahl, Michael",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,200,111,Educ Psychology & Leadership,ED,A
202301,21200,ED-D,420,A03,LEARNING SUPPORT:CONTEXT,LEC,"Mollard, Doug",1.5,M,MAC,D203,830,950,TF,09-Jan-23,06-Apr-23,33,27,Educ Psychology & Leadership,ED,A
202301,23877,ED-D,420,A04,LEARNING SUPPORT:CONTEXT,LEC,"Lindsay-Tadey, Maggie; Russchen, Julie",1.5,CRA,,,1600,1850,M,09-Jan-23,06-Apr-23,25,15,Educ Psychology & Leadership,ED,A
202301,21199,ED-D,420,A02,LEARNING SUPPORT:CONTEXT,LEC,"Bender, Lois",1.5,M,MAC,D203,1000,1120,TF,09-Jan-23,06-Apr-23,33,29,Educ Psychology & Leadership,ED,A
202301,21198,ED-D,420,A01,LEARNING SUPPORT:CONTEXT,LEC,"Roberts, Jillian",1.5,ONL,,,1000,1120,MR,09-Jan-23,06-Apr-23,33,33,Educ Psychology & Leadership,ED,A
202301,21201,ED-D,426,A01,DIFFERENTIATING INSTRUCTION,LEC,"McGhie-Richmond, Donna",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,35,34,Educ Psychology & Leadership,ED,A
202301,24165,ED-D,494,A01,DIRECTED STUDIES,L01,"Nutter, Sarah",1.5,M,,,,,,09-Jan-23,06-Apr-23,1,1,Educ Psychology & Leadership,ED,A
202301,21203,ED-D,503,A01,PROGRAM DEVELOP AND EVALUATION,LEC,"Nutter, Sarah",1.5,M,ELL,161,1330,1620,R,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,23782,ED-D,506C,A01,ADOLESCENT DEVELOPMENT,LEC,"Brown, Lucinda",1.5,M,MAC,D114,1630,1920,M,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,21205,ED-D,509,A01,PSYC LEARNING & INSTRUCTION,LEC,"Hadwin, Allyson",1.5,M,MAC,D107,1630,1920,R,09-Jan-23,06-Apr-23,15,16,Educ Psychology & Leadership,ED,A
202301,21206,ED-D,519C,A01,ETHICS+LEGAL ISSUES:COUNSELLNG,LEC,"Chou, Fred",1.5,M,MAC,A326,930,1220,R,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,21207,ED-D,519L,A01,GROUP COUNSELLING,LEC,"Black, Tim",1.5,M,MAC,A326,930,1220,T,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,23543,ED-D,522,A01,SKILLS & PRACTICE- COUNSELLING,LEC,"Black, Tim",1.5,M,MAC,A326,1330,1620,W,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,23544,ED-D,523,A01,INTERNSHIP IN COUNSELLING,LEC,"Chou, Fred",1.5,M,MAC,D103,1630,1920,W,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,21208,ED-D,535,A01,GLOBAL COMPARATIVE PERSPECTIVE,LEC,"Davis, Jeffrey",1.5,M,MAC,D287,1630,1920,T,09-Jan-23,06-Apr-23,15,12,Educ Psychology & Leadership,ED,A
202301,21209,ED-D,540,A01,"GENDER, LEADERSHP AND LEARNING",LEC,"Diaz-Diaz, Claudia",1.5,M,HSD,A250,1630,1920,W,09-Jan-23,06-Apr-23,15,14,Educ Psychology & Leadership,ED,A
202301,21211,ED-D,561A,A01,METHOD:EDUCATION RESEARCH,LEC,"Hadwin, Allyson",1.5,M,CLE,A325,1630,1920,T,09-Jan-23,06-Apr-23,15,22,Educ Psychology & Leadership,ED,A
202301,23858,ED-D,571,A01,AT: THEORY TO PRACTICE,LEC,"McGhie-Richmond, Donna",1.5,M,MAC,D211,1630,1920,W,09-Jan-23,06-Apr-23,15,16,Educ Psychology & Leadership,ED,A
202301,24540,ED-D,590,A02,DIRECTED STUDIES:EPL STUDY,LEC,"Brown, Lucinda",1.5,M,,,,,,09-Jan-23,06-Apr-23,1,1,Educ Psychology & Leadership,ED,A
202301,24539,ED-D,590,A01,DIRECTED STUDIES:EPL STUDY,LEC,"Brown, Lucinda",1.5,M,,,,,,09-Jan-23,06-Apr-23,1,1,Educ Psychology & Leadership,ED,A
202301,21213,ED-D,591E,A01,TOPICS:LEADERSHIP STUDIES,L01,"Hall, Budd",1.5,ONL,,,930,1220,T,09-Jan-23,06-Apr-23,15,15,Educ Psychology & Leadership,ED,A
202301,21214,ED-D,597,A01,COMPREHENSIVE EXAM:EPL,LEC,TBD,1.5,M,,,,,,09-Jan-23,06-Apr-23,45,7,Educ Psychology & Leadership,ED,A
202301,21215,ED-D,597,A02,COMPREHENSIVE EXAM:EPL,LEC,TBD,1.5,ONL,,,,,,09-Jan-23,06-Apr-23,45,18,Educ Psychology & Leadership,ED,A
202301,21216,ED-D,598,A01,PROJECT:EPL STUDIES,LEC,TBD,3,M,,,,,,09-Jan-23,06-Apr-23,45,4,Educ Psychology & Leadership,ED,A
202301,21217,ED-D,598,A02,PROJECT:EPL STUDIES,LEC,TBD,3,OFF,,,,,,09-Jan-23,06-Apr-23,45,7,Educ Psychology & Leadership,ED,A
202301,21218,ED-D,598,A03,PROJECT:EPL STUDIES,LEC,"Allen, Willow Samara",3,ONL,,,,,,09-Jan-23,06-Apr-23,15,16,Educ Psychology & Leadership,ED,A
202301,21220,ED-D,599,A02,THESIS:EPL STUDIES,LEC,TBD,6,ONL,,,,,,09-Jan-23,26-Apr-23,45,8,Educ Psychology & Leadership,ED,A
202301,21219,ED-D,599,A01,THESIS:EPL STUDIES,LEC,TBD,6,M,,,,,,09-Jan-23,26-Apr-23,45,8,Educ Psychology & Leadership,ED,A
