Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
SENG 401,1.7320508075688772,Spring,2023,4,Engineering & Computer Science,63.0,62.0
SENG 310,1.684129061737789,Fall,2019,3,Engineering & Computer Science,123.0,108.0
CSC 111,1.3816453986983719,Fall,2020,1,Computer Science,175.0,137.0
CSC 115,1.7240071830572798,Fall,2020,1,Computer Science,172.0,136.0
CSC 225,1.3816453986983719,Fall,2020,2,Computer Science,167.0,132.0
CSC 226,1.7240071830572798,Fall,2020,2,Computer Science,164.0,130.0
CSC 230,1.7240071830572798,Fall,2020,2,Computer Science,162.0,129.0
CSC 320,1.7240071830572798,Fall,2020,3,Computer Science,157.0,124.0
CSC 355,1.7240071830572798,Fall,2020,3,Computer Science,154.0,123.0
CSC 360,1.974365966965347,Fall,2020,3,Computer Science,152.0,122.0
CSC 361,1.974365966965347,Fall,2020,3,Computer Science,150.0,121.0
CSC 370,1.7308329888157203,Fall,2020,3,Computer Science,147.0,119.0
ECE 255,1.7214958597388421,Fall,2020,2,Electrical & Computer Engg,146.0,121.0
ECE 260,1.71403712091437,Fall,2020,2,Electrical & Computer Engg,144.0,120.0
ECE 355,1.71403712091437,Fall,2020,3,Electrical & Computer Engg,136.0,114.0
ECE 360,1.999486447111325,Fall,2020,3,Electrical & Computer Engg,134.0,113.0
SENG 265,1.684129061737789,Fall,2020,2,Engineering & Computer Science,130.0,114.0
SENG 275,1.3776586902754577,Fall,2020,2,Engineering & Computer Science,128.0,113.0
SENG 310,1.684129061737789,Fall,2020,3,Engineering & Computer Science,123.0,108.0
SENG 321,1.3776586902754577,Fall,2020,3,Engineering & Computer Science,120.0,107.0
SENG 350,2.2214568185871673,Fall,2020,3,Engineering & Computer Science,118.0,105.0
SENG 360,2.2214568185871673,Fall,2020,3,Engineering & Computer Science,115.0,104.0
SENG 275,1.3776586902754577,Fall,2022,2,Engineering & Computer Science,128.0,112.0
CSC 111,1.7240071830572798,Fall,2023,1,Computer Science,174.0,137.0
CSC 115,1.7240071830572798,Fall,2023,1,Computer Science,172.0,135.0
CSC 225,1.3816453986983719,Fall,2023,2,Computer Science,166.0,131.0
CSC 226,1.7240071830572798,Fall,2023,2,Computer Science,164.0,129.0
CSC 230,1.974365966965347,Fall,2023,2,Computer Science,162.0,128.0
CSC 320,1.7240071830572798,Fall,2023,3,Computer Science,156.0,124.0
CSC 355,1.974365966965347,Fall,2023,3,Computer Science,154.0,122.0
CSC 360,1.974365966965347,Fall,2023,3,Computer Science,151.0,121.0
CSC 361,1.7308329888157203,Fall,2023,3,Computer Science,149.0,120.0
