Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC 226,1.3828976669405364,Summer,2020,2,Computer Science,162.0,127.0
CSC 230,1.7269660727128908,Summer,2020,2,Computer Science,159.0,126.0
CSC 320,1.669614809618496,Summer,2020,3,Computer Science,153.0,120.0
CSC 360,1.7269660727128908,Summer,2020,3,Computer Science,149.0,118.0
CSC 370,1.724179092485383,Summer,2020,3,Computer Science,144.0,116.0
ECE 260,1.3633345328455118,Summer,2020,2,Electrical & Computer Engg,140.0,115.0
ECE 310,1.728477399264385,Summer,2020,3,Electrical & Computer Engg,133.0,109.0
SENG 265,2.219696869738884,Summer,2020,2,Computer Science,129.0,114.0
SENG 275,1.4130046597711452,Summer,2020,2,Computer Science,127.0,113.0
SENG 310,1.355242231542043,Summer,2020,3,Computer Science,121.0,106.0
SENG 426,1.7029249907021853,Summer,2020,4,Engineering & Computer Science,99.0,88.0
SENG 440,1.9641011650882512,Summer,2020,4,Engineering & Computer Science,97.0,87.0
SENG 499,1.6645778862035372,Summer,2020,4,Engineering & Computer Science,94.0,86.0
CSC 115,1.986661070563871,Summer,2023,1,Computer Science,170.0,133.0
CSC 225,1.3828976669405364,Summer,2023,2,Computer Science,163.0,127.0
CSC 226,1.7269660727128908,Summer,2023,2,Computer Science,161.0,126.0
CSC 230,1.7269660727128908,Summer,2023,2,Computer Science,159.0,125.0
CSC 320,1.3828976669405364,Summer,2023,3,Computer Science,152.0,119.0
CSC 360,1.7269660727128908,Summer,2023,3,Computer Science,148.0,117.0
CSC 370,1.724179092485383,Summer,2023,3,Computer Science,144.0,115.0
ECE 260,1.7187474212287954,Summer,2023,2,Electrical & Computer Engg,139.0,114.0
ECE 310,1.728477399264385,Summer,2023,3,Electrical & Computer Engg,133.0,108.0
SENG 265,2.219696869738884,Summer,2023,2,Computer Science,128.0,113.0
SENG 275,1.4130046597711452,Summer,2023,2,Computer Science,126.0,112.0
SENG 310,1.355242231542043,Summer,2023,3,Computer Science,120.0,105.0
SENG 426,1.9641011650882512,Summer,2023,4,Engineering & Computer Science,98.0,87.0
SENG 440,1.6645778862035372,Summer,2023,4,Engineering & Computer Science,96.0,86.0
SENG 499,1.6645778862035372,Summer,2023,4,Engineering & Computer Science,94.0,85.0
CSC 111,1.7269660727128908,Spring,2019,1,Computer Science,174.0,137.0
CSC 115,1.7269660727128908,Spring,2019,1,Computer Science,172.0,136.0
CSC 225,1.3828976669405364,Spring,2019,2,Computer Science,166.0,130.0
CSC 226,1.7269660727128908,Spring,2019,2,Computer Science,163.0,129.0
CSC 230,1.7269660727128908,Spring,2019,2,Computer Science,161.0,128.0
CSC 320,1.3828976669405364,Spring,2019,3,Computer Science,155.0,122.0
CSC 360,1.7269660727128908,Spring,2019,3,Computer Science,150.0,120.0
CSC 361,1.986661070563871,Spring,2019,3,Computer Science,148.0,119.0
CSC 370,1.724179092485383,Spring,2019,3,Computer Science,146.0,118.0
CSC 460,1.7269660727128908,Spring,2019,4,Computer Science,140.0,112.0
ECE 310,1.728477399264385,Spring,2019,3,Electrical & Computer Engg,135.0,111.0
ECE 360,1.3633345328455118,Spring,2019,3,Electrical & Computer Engg,131.0,109.0
ECE 455,1.728477399264385,Spring,2019,4,Electrical & Computer Engg,124.0,103.0
ECE 458,1.3633345328455118,Spring,2019,4,Electrical & Computer Engg,122.0,102.0
SENG 265,2.219696869738884,Spring,2019,2,Computer Science,131.0,116.0
SENG 275,1.4130046597711452,Spring,2019,2,Computer Science,129.0,115.0
SENG 310,1.355242231542043,Spring,2019,3,Computer Science,122.0,108.0
SENG 321,2.219696869738884,Spring,2019,3,Computer Science,120.0,107.0
SENG 371,1.7320508075688772,Spring,2019,3,Computer Science,114.0,105.0
SENG 401,1.4130046597711452,Spring,2019,4,Computer Science,107.0,98.0
SENG 275,1.4130046597711452,Spring,2020,2,Computer Science,128.0,114.0
CSC 111,1.7269660727128908,Spring,2022,1,Computer Science,173.0,136.0
CSC 115,1.986661070563871,Spring,2022,1,Computer Science,171.0,135.0
CSC 225,1.3828976669405364,Spring,2022,2,Computer Science,165.0,129.0
CSC 226,1.7269660727128908,Spring,2022,2,Computer Science,163.0,128.0
CSC 230,1.986661070563871,Spring,2022,2,Computer Science,161.0,127.0
CSC 320,1.3828976669405364,Spring,2022,3,Computer Science,154.0,121.0
CSC 360,1.986661070563871,Spring,2022,3,Computer Science,150.0,119.0
CSC 361,1.986661070563871,Spring,2022,3,Computer Science,148.0,118.0
CSC 370,1.724179092485383,Spring,2022,3,Computer Science,146.0,117.0
CSC 460,1.7269660727128908,Spring,2022,4,Computer Science,139.0,111.0
ECE 310,1.728477399264385,Spring,2022,3,Electrical & Computer Engg,135.0,110.0
ECE 360,1.7187474212287954,Spring,2022,3,Electrical & Computer Engg,130.0,108.0
ECE 455,1.728477399264385,Spring,2022,4,Electrical & Computer Engg,124.0,102.0
ECE 458,1.3633345328455118,Spring,2022,4,Electrical & Computer Engg,122.0,101.0
SENG 265,1.4130046597711452,Spring,2022,2,Computer Science,130.0,115.0
SENG 275,1.4130046597711452,Spring,2022,2,Computer Science,128.0,114.0
SENG 310,2.219696869738884,Spring,2022,3,Computer Science,122.0,107.0
SENG 321,2.219696869738884,Spring,2022,3,Computer Science,120.0,106.0
SENG 371,1.7320508075688772,Spring,2022,3,Computer Science,113.0,104.0
SENG 401,1.4130046597711452,Spring,2022,4,Computer Science,107.0,97.0
CSC 460,1.986661070563871,Spring,2023,4,Computer Science,139.0,111.0
